Age,Education,Marital_Status,No of adults,Income,Kidhome,Teenhome,Years joined,Dependency Ratio,Enrollment year,enrollment_Customer,Customer tenure(days),Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,Total_Expenditure_2yrs,Avg_Monthly _spend,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Engagement score,Campaign2,Complain,Z_CostContact,Z_Revenue,Response
68,Graduation,Single,1,58138,0,0,13,0,2012,9/4/12,4832,58,635,88,546,172,88,88,1617,67.38,3,8,10,4,7,5.2,0,0,3,11,1
71,Graduation,Single,1,46344,1,1,11,2,2014,3/8/14,4282,38,11,1,6,2,1,6,27,1.13,2,1,1,2,5,3.2,0,0,3,11,0
60,Graduation,Together,2,71613,0,0,12,0,2013,8/21/13,4481,26,426,49,127,111,21,42,776,32.33,1,8,2,10,4,7.6,0,0,3,11,0
41,Graduation,Together,2,26646,1,0,11,0.5,2014,2/10/14,4308,26,11,4,20,10,3,5,53,2.21,2,2,0,4,6,4.8,0,0,3,11,0
44,PhD,Married,2,58293,1,0,11,0.5,2014,1/19/14,4330,94,173,43,118,46,27,15,422,17.58,5,5,3,6,5,5.6,0,0,3,11,0
58,Master,Together,2,62513,0,1,12,0.5,2013,9/9/13,4462,16,520,42,98,0,42,14,716,29.83,2,6,4,10,6,8.4,0,0,3,11,0
54,Graduation,Divorced,1,55635,0,1,13,1,2012,11/13/12,4762,34,235,65,164,50,49,27,590,24.58,4,7,3,7,6,6.6,0,0,3,11,0
40,PhD,Married,2,33454,1,0,12,0.5,2013,5/8/13,4586,32,76,10,56,3,1,23,169,7.04,2,4,0,4,8,5.6,0,0,3,11,0
51,PhD,Together,2,30351,1,0,12,0.5,2013,6/6/13,4557,19,14,0,24,3,3,2,46,1.92,1,3,0,2,9,4.8,0,0,3,11,1
75,PhD,Together,2,5648,1,1,11,1,2014,3/13/14,4277,68,28,0,6,1,1,13,49,2.04,1,1,0,0,20,8,1,0,3,11,0
42,Graduation,Married,2,,1,0,12,0.5,2013,11/15/13,4395,11,5,5,6,0,2,1,19,0.79,1,1,0,2,7,4,0,0,3,11,0
49,Basic,Married,2,7500,0,0,13,0,2012,11/13/12,4762,59,6,16,11,11,1,16,61,2.54,1,2,0,3,8,5,0,0,3,11,0
66,Graduation,Divorced,1,63033,0,0,12,0,2013,11/15/13,4395,82,194,61,480,225,112,30,1102,45.92,1,3,4,8,2,5.6,0,0,3,11,0
73,Master,Divorced,1,59354,1,1,12,2,2013,11/15/13,4395,53,233,2,53,3,5,14,310,12.92,3,6,1,5,6,5.4,0,0,3,11,0
38,Graduation,Married,2,17323,0,0,13,0,2012,10/10/12,4796,38,3,14,17,6,1,5,46,1.92,1,1,0,3,8,5,0,0,3,11,0
79,PhD,Single,1,82800,0,0,13,0,2012,11/24/12,4751,23,1006,22,115,59,68,45,1315,54.79,1,7,6,12,3,8.4,1,0,3,11,1
45,Graduation,Married,2,41850,1,1,13,1,2012,12/24/12,4721,51,53,5,19,2,13,4,96,4.00,3,3,0,3,8,5,0,0,3,11,0
79,Graduation,Together,2,37760,0,0,13,0,2012,8/31/12,4836,20,84,5,38,150,12,28,317,13.21,2,4,1,6,7,6.4,0,0,3,11,0
76,Master,Married,2,76995,0,1,12,0.5,2013,3/28/13,4627,91,1012,80,498,0,16,176,1782,74.25,2,11,4,9,5,7.4,1,0,3,11,0
40,2n Cycle,Single,1,33812,1,0,13,1,2012,11/3/12,4772,86,4,17,19,30,24,39,133,5.54,2,2,1,3,6,4.2,0,0,3,11,0
43,Graduation,Married,2,37040,0,0,13,0,2012,8/8/12,4859,41,86,2,73,69,38,48,316,13.17,1,4,2,5,8,6.2,0,0,3,11,0
46,Graduation,Married,2,2447,1,0,12,0.5,2013,1/6/13,4708,42,1,1,1725,1,1,1,1730,72.08,15,0,28,0,1,0.4,0,0,3,11,0
76,PhD,Married,2,58607,0,1,13,0.5,2012,12/23/12,4722,63,867,0,86,0,0,19,972,40.50,3,2,3,9,8,8.6,1,0,3,11,0
71,PhD,Married,2,65324,0,1,11,0.5,2014,1/11/14,4338,0,384,0,102,21,32,5,544,22.67,3,6,2,9,4,7,0,0,3,11,0
74,Graduation,Together,2,40689,0,1,12,0.5,2013,3/18/13,4637,69,270,3,27,39,6,99,444,18.50,7,7,1,5,8,6.2,0,0,3,11,0
56,Graduation,Single,1,18589,0,0,12,0,2013,1/2/13,4712,89,6,4,25,15,12,13,75,3.13,2,2,1,3,7,4.6,0,0,3,11,0
49,Graduation,Married,2,53359,1,1,12,1,2013,5/27/13,4567,4,173,4,30,3,6,41,257,10.71,4,5,1,4,7,5.2,0,0,3,11,0
39,Graduation,Single,1,,1,0,12,1,2013,2/20/13,4663,19,5,1,3,3,263,362,637,26.54,0,27,0,0,1,0.4,0,0,3,11,0
36,Graduation,Married,2,38360,1,0,12,0.5,2013,5/31/13,4563,26,36,2,42,20,21,10,131,5.46,2,2,1,4,3,3.6,0,0,3,11,0
60,PhD,Married,2,84618,0,0,12,0,2013,11/22/13,4388,96,684,100,801,21,66,0,1672,69.67,1,6,9,10,2,6.8,1,0,3,11,0
36,Master,Divorced,1,10979,0,0,11,0,2014,5/22/14,4207,34,8,4,10,2,2,4,30,1.25,2,3,0,3,5,3.8,0,0,3,11,0
62,Master,Together,2,38620,0,0,12,0,2013,5/11/13,4583,56,112,17,44,34,22,89,318,13.25,1,2,5,3,3,3,0,0,3,11,0
55,Graduation,Together,2,40548,0,1,13,0.5,2012,10/10/12,4796,31,110,0,5,2,0,3,120,5.00,2,2,1,4,5,4.4,1,0,3,11,0
73,PhD,Divorced,1,46610,0,2,13,2,2012,10/29/12,4777,8,96,12,96,33,22,43,302,12.58,6,4,1,6,6,6,0,0,3,11,1
79,Master,Married,2,68657,0,0,12,0,2013,2/20/13,4663,4,482,34,471,119,68,22,1196,49.83,1,3,5,9,7,8.2,0,0,3,11,0
74,Master,Single,1,49389,1,1,12,2,2013,8/29/13,4473,55,40,0,19,2,1,3,65,2.71,1,2,0,3,7,4.6,0,0,3,11,0
55,PhD,Married,2,67353,0,1,12,0.5,2013,12/31/13,4349,37,702,17,151,0,8,35,913,38.04,5,5,6,12,2,8,0,0,3,11,0
49,2n Cycle,Married,2,23718,1,0,12,0.5,2013,9/2/13,4469,76,6,3,14,15,7,36,81,3.38,3,3,1,2,7,4,0,0,3,11,0
52,Graduation,Widow,1,42429,0,1,11,1,2014,2/11/14,4307,99,55,0,6,2,0,4,67,2.79,2,1,1,3,5,3.8,0,0,3,11,0
82,PhD,Divorced,1,48948,0,0,12,0,2013,2/1/13,4682,53,437,8,206,160,49,42,902,37.58,2,7,10,5,6,5.4,1,0,3,11,1
45,Graduation,Married,2,80011,0,1,12,0.5,2013,4/29/13,4595,3,421,76,536,82,178,102,1395,58.13,2,8,6,5,4,4.6,0,0,3,11,0
40,Master,Married,2,20559,1,0,12,0.5,2013,3/12/13,4643,88,13,1,29,3,0,7,53,2.21,2,2,0,3,8,5,0,0,3,11,0
68,Graduation,Together,2,21994,0,1,13,0.5,2012,12/24/12,4721,4,9,0,6,3,1,3,22,0.92,1,0,0,3,5,3.8,0,0,3,11,0
66,PhD,Single,1,,0,0,12,0,2013,11/5/13,4405,80,81,11,50,3,2,39,186,7.75,1,1,3,4,2,3.2,0,0,3,11,0
50,Master,Married,2,7500,1,0,12,0.5,2013,10/2/13,4439,19,3,1,10,3,2,12,31,1.29,3,2,0,3,5,3.8,0,0,3,11,0
49,Graduation,Single,1,79941,0,0,11,0,2014,6/28/14,4170,72,123,164,266,227,30,174,984,41.00,1,2,4,9,1,5.8,0,0,3,11,0
29,2n Cycle,Married,2,7500,0,0,13,0,2012,11/9/12,4766,24,3,18,14,15,22,50,122,5.08,3,3,1,3,9,5.4,0,0,3,11,1
57,Graduation,Together,2,41728,1,0,12,0.5,2013,5/24/13,4570,92,13,6,15,3,5,13,55,2.29,1,2,0,2,10,5.2,0,0,3,11,0
